image,row,col,amplitude,sigma_x,sigma_y,theta_deg,offset,residual
20260406_interlace10_0 copy.tif,307.94764764926697,474.0420697836762,159.35957156531788,1.914524606991692,3.4512109048219175,117.18118092010383,1.5082168442250037,169.27725736605927
20260406_interlace10_0 copy.tif,225.046053414853,472.8296028773528,158.3314311844681,1.8967380933664615,3.602108040221962,118.63679690130414,1.5787375130567212,177.23244003258165
20260406_interlace10_0 copy.tif,893.9454852854179,482.92896928629824,156.5023581956403,3.489370182102553,1.857620412744231,-152.67126867832982,1.3259418842092656,159.13228372592224
20260406_interlace10_0 copy.tif,725.6384008079708,480.47625044781773,156.62789615462853,1.915526120724741,3.4184113498440385,-61.60492944681134,1.312157642265227,166.13551119520375
20260406_interlace10_0 copy.tif,641.737214503117,479.2178137933308,155.62840727866975,1.9309516755167473,3.4438015818402343,-61.62265051768659,1.1904463415820306,169.73108417035476
20260406_interlace10_0 copy.tif,978.2284665590784,484.14346382454875,154.66919499491158,3.585621314168993,1.8477889451389067,-152.11382966243843,1.418888986772566,161.37205764558865
20260406_interlace10_0 copy.tif,809.6445887169854,481.6870493924662,155.4388510190347,3.427825419426271,1.888458750517293,-152.20825404129351,1.3333119339645614,167.71468409113416
20260406_interlace10_0 copy.tif,391.048378421621,475.3174545045246,152.94541579665096,1.9166627876039595,3.4605317901709616,-63.300828607122504,1.4278497479790384,168.32937973949768
20260406_interlace10_0 copy.tif,558.0430327390783,477.94882640853444,148.50345286938787,3.4939698015673626,1.917901761561229,-152.19514724039482,1.1626390548833363,170.59030197720963
20260406_interlace10_0 copy.tif,474.4751201984918,476.6379729331359,145.69381139244987,1.9078520927052478,3.4993368423370472,-62.105023873901956,1.2937115874878409,179.21956796474876
20260406_main10_0 copy.tif,642.680975548292,479.4353644573557,125.59019940214077,1.411435922496794,2.556992400735569,-54.91921393329347,2.090277936279752,41.112716772269685
20260406_main10_0 copy.tif,559.0257269720399,478.2890825217471,123.3807650830919,1.4040992059733388,2.565500303032777,-53.91354694577732,2.135158842927342,38.43689798914272
20260406_main10_0 copy.tif,810.4959179250831,481.9456345587354,123.04414578107091,1.3906243505587221,2.537249746315944,-56.787544146040034,2.285106550825808,40.21053301908217
20260406_main10_0 copy.tif,726.4994751905872,480.6818901666416,121.60983620621825,1.4062906303719402,2.505769204985262,-55.730375283432934,2.1484440071347,38.51666705379083
20260406_main10_0 copy.tif,392.00084077253564,475.71248280955325,112.59469345250143,2.0621128618835893,1.7677786244682965,179.99999999999997,2.448659133964879,117.74961441431937
20260406_main10_0 copy.tif,475.471722787646,477.03834802039677,116.51607431481501,1.3939910281142969,2.6010036035716926,126.47509936538711,2.1065573878090262,38.39820740799933
20260406_main10_0 copy.tif,894.6863818707509,483.26632367174625,114.55665656355559,2.6082443903045274,1.3659145681127478,33.61624461108834,2.346156791175995,42.82408919961982
20260406_main10_0 copy.tif,225.73410810165893,472.96915358925816,107.3211493110453,1.4077057384314497,2.637823964468583,127.29234047162376,2.404905738717298,37.41439524158081
20260406_main10_0 copy.tif,979.0292378416049,484.5664609949082,106.27850279072763,1.392223332691727,2.6883202315306445,-55.493056639362194,2.408083181068877,42.86175069727004
20260406_main10_0 copy.tif,308.73856835579994,474.2610177122046,107.58322430595821,1.40717626513868,2.5771973758395386,-54.17939037943381,2.3577020528676886,40.73351444404708
